assignment_1,assignment_2,assignment_3,assignment_4,assignment_5,cycle_test_1,cycle_test_2,cycle_test_3,cat_1,cat_2,cat_3,attendance,lab_marks,risk_level
35,18,29,14,58,60,11,100,92,77,39,96,12,Medium Risk
44,18,17,90,89,28,66,15,18,24,48,64,34,High Risk
19,35,1,34,61,18,26,49,96,47,84,95,42,Medium Risk
64,28,48,32,75,42,53,42,64,64,56,62,1,High Risk
7,59,76,83,10,65,65,16,2,52,86,60,55,Medium Risk
15,81,3,15,100,73,48,79,41,66,83,94,76,Medium Risk
13,1,89,33,88,60,15,57,20,89,63,75,50,Medium Risk
75,0,88,65,17,42,1,1,98,17,74,71,53,Medium Risk
86,46,93,98,18,24,59,3,39,8,56,77,15,High Risk
14,68,74,39,86,19,53,84,66,37,97,73,17,Medium Risk
91,19,6,27,54,47,29,38,24,86,73,78,6,High Risk
97,10,94,46,81,82,83,97,54,20,73,58,44,Medium Risk
65,1,73,38,25,86,37,93,83,64,69,91,35,Medium Risk
31,66,38,69,5,23,27,5,51,20,99,53,40,High Risk
86,86,12,72,3,10,24,80,43,26,87,98,93,Medium Risk
62,11,30,19,28,97,95,88,97,69,75,95,41,Medium Risk
85,19,70,0,58,54,9,68,84,43,42,67,6,High Risk
50,4,62,71,97,27,59,68,55,99,22,92,14,Medium Risk
24,36,55,86,16,68,41,19,54,27,26,65,59,High Risk
57,37,41,62,42,62,39,63,86,44,57,82,39,Medium Risk
62,93,60,66,79,58,96,15,69,16,36,78,82,Medium Risk
61,8,41,3,65,4,76,50,76,39,5,88,36,High Risk
21,97,55,57,33,50,41,36,86,2,64,59,65,Medium Risk
57,52,35,24,7,20,46,72,72,75,5,58,54,High Risk
57,43,83,46,12,11,36,68,80,75,49,80,76,Medium Risk
85,98,67,37,7,49,79,41,65,65,21,77,94,Medium Risk
48,85,6,14,93,3,21,56,18,45,87,52,79,Medium Risk
51,23,53,62,95,41,56,65,82,85,24,63,55,Medium Risk
41,80,0,20,99,83,83,8,6,86,78,74,43,Medium Risk
69,73,43,98,93,37,26,99,62,29,89,64,56,Medium Risk
14,29,44,56,64,24,40,85,41,68,71,51,5,High Risk
53,58,46,52,42,13,79,63,41,8,50,73,91,Medium Risk
59,86,12,45,38,74,33,85,58,84,87,63,31,Medium Risk
100,95,21,13,80,31,31,21,19,10,47,97,73,Medium Risk
96,80,20,99,58,10,89,33,72,68,69,56,17,Medium Risk
7,80,85,75,83,60,88,54,16,98,98,85,67,Medium Risk
52,13,91,16,87,17,65,28,26,90,64,99,72,Medium Risk
59,8,8,38,85,26,11,37,46,65,59,73,6,High Risk
4,39,25,8,92,54,39,96,1,87,45,76,7,High Risk
67,65,8,98,85,53,72,17,62,30,35,86,63,Medium Risk
5,24,14,76,43,81,75,70,61,32,57,87,6,High Risk
95,72,9,78,8,86,89,64,99,38,75,79,40,Medium Risk
93,21,87,81,36,74,72,96,18,93,37,76,39,Medium Risk
46,3,41,96,73,20,9,0,16,45,10,88,2,High Risk
98,25,71,5,35,43,95,87,68,36,11,64,16,High Risk
54,57,23,90,100,4,97,3,38,91,41,75,65,Medium Risk
39,28,79,22,91,86,47,3,81,59,38,50,78,Medium Risk
51,97,48,58,27,40,19,81,70,30,70,53,92,Medium Risk
15,86,25,90,41,58,38,26,80,10,10,78,51,High Risk
12,36,90,97,42,88,59,42,38,86,35,50,21,High Risk
29,74,36,45,84,53,65,58,35,1,51,92,3,High Risk
18,69,67,37,87,73,64,31,39,26,30,99,5,High Risk
16,17,49,13,41,21,50,32,44,98,32,95,37,Medium Risk
62,84,23,99,65,82,35,27,3,1,12,71,25,High Risk
18,41,18,71,54,64,23,54,24,100,17,60,10,High Risk
91,99,99,61,71,63,26,99,68,20,40,59,89,Medium Risk
57,40,59,34,47,70,1,59,29,57,57,66,16,High Risk
54,37,38,18,90,3,30,69,75,4,55,85,87,Medium Risk
89,33,73,29,21,64,56,61,67,51,23,96,91,Medium Risk
100,16,88,77,100,14,77,79,87,44,72,75,98,Medium Risk
89,36,17,83,26,75,65,33,28,84,30,97,30,Medium Risk
61,24,18,24,92,21,28,86,72,92,54,70,76,Medium Risk
22,75,35,39,66,85,14,87,67,19,9,62,34,High Risk
8,86,73,87,12,46,11,55,50,60,59,58,15,High Risk
11,85,96,13,44,80,100,12,23,37,1,60,78,Medium Risk
0,84,54,25,9,92,27,55,13,19,14,60,17,High Risk
57,26,68,86,99,45,83,17,68,24,2,55,100,Medium Risk
0,56,46,21,8,13,23,53,17,1,42,50,61,High Risk
33,30,48,47,53,49,20,76,41,31,30,55,26,High Risk
95,5,98,82,26,19,9,100,56,25,69,62,34,High Risk
47,90,97,50,33,49,77,42,82,69,66,71,44,Medium Risk
88,39,32,2,0,32,100,38,11,40,55,80,34,High Risk
0,97,20,41,31,58,17,60,81,66,62,71,27,Medium Risk
15,11,80,18,88,42,87,41,16,96,74,86,8,Medium Risk
60,52,21,72,92,78,13,80,29,0,14,96,75,Medium Risk
63,70,47,27,70,11,33,78,87,50,91,76,14,Medium Risk
62,9,36,83,66,39,57,17,74,4,9,99,20,High Risk
68,44,14,44,83,19,75,22,98,12,37,63,51,Medium Risk
21,16,34,70,19,93,21,53,22,18,46,96,34,High Risk
92,25,91,77,93,37,69,29,80,11,56,54,96,Medium Risk
66,84,70,62,34,2,35,97,0,47,49,85,50,Medium Risk
75,91,31,72,98,27,44,57,78,24,70,81,82,Medium Risk
25,61,10,18,90,55,35,67,31,56,14,83,54,Medium Risk
15,45,9,46,89,89,21,66,8,34,17,56,86,High Risk
50,63,72,13,77,93,77,70,14,75,81,91,76,Medium Risk
100,1,77,37,16,12,79,17,27,93,87,97,43,Medium Risk
85,53,76,52,17,76,60,6,23,4,1,59,64,High Risk
56,64,56,60,44,65,99,39,59,97,83,99,92,Low Risk
28,50,24,35,92,36,55,69,34,21,97,66,87,Medium Risk
77,52,1,39,83,48,88,85,85,76,42,79,79,Medium Risk
91,35,63,80,52,65,95,64,26,56,25,70,24,Medium Risk
68,25,34,29,90,35,32,67,82,46,70,62,86,Medium Risk
46,28,6,8,81,53,44,48,75,53,37,50,91,Medium Risk
93,20,84,63,67,25,35,51,19,2,93,50,46,High Risk
61,10,17,32,64,74,19,28,64,52,41,96,79,Medium Risk
68,39,66,51,0,71,17,20,84,83,4,82,55,Medium Risk
75,10,41,88,57,39,37,89,48,30,10,87,37,High Risk
15,35,38,13,25,42,66,77,0,68,64,74,10,High Risk
89,58,40,74,19,21,22,8,9,87,33,75,66,Medium Risk
89,38,74,52,86,19,95,46,46,32,0,62,14,High Risk
47,98,23,98,9,7,15,75,58,71,82,77,0,High Risk
84,53,59,58,58,28,58,41,95,87,1,82,6,Medium Risk
38,97,45,77,74,39,68,50,61,49,84,86,0,Medium Risk
99,54,18,93,40,89,67,55,85,83,19,90,48,Medium Risk
32,23,67,40,4,29,20,50,17,15,60,79,95,Medium Risk
93,21,89,67,64,80,77,69,45,75,86,98,72,Low Risk
100,68,41,67,16,83,94,19,31,76,20,97,28,Medium Risk
22,55,31,91,21,54,77,87,26,38,87,57,25,High Risk
9,32,38,7,97,15,69,26,91,88,67,98,86,Medium Risk
68,35,35,1,40,45,11,37,17,45,11,96,44,High Risk
99,19,100,85,92,61,15,71,38,95,21,50,92,Medium Risk
33,82,96,40,67,6,80,64,48,87,19,61,96,Medium Risk
51,98,35,54,68,79,86,53,92,46,81,54,70,Medium Risk
94,80,2,15,10,44,13,23,81,43,0,73,11,High Risk
9,61,72,92,55,58,60,46,43,8,29,55,94,Medium Risk
18,97,7,61,50,55,70,70,71,86,96,74,31,Medium Risk
57,72,96,47,20,47,45,82,53,49,23,50,19,High Risk
95,25,69,29,98,26,31,85,94,76,13,74,50,Medium Risk
0,65,40,11,75,52,14,62,33,59,35,50,80,Medium Risk
68,72,67,34,25,86,43,56,70,95,68,81,35,Medium Risk
3,72,12,10,18,87,16,54,35,14,74,91,66,Medium Risk
15,39,48,63,59,72,40,59,17,35,23,91,0,High Risk
23,16,59,49,70,34,53,98,37,62,59,52,26,High Risk
79,0,1,84,46,50,43,61,58,68,94,98,39,Medium Risk
1,88,59,20,70,83,97,29,8,85,54,68,96,Medium Risk
91,60,4,68,25,36,4,92,72,79,76,92,83,Medium Risk
31,42,43,47,39,80,26,21,71,40,79,78,13,High Risk
90,41,26,19,4,94,86,74,50,73,23,99,99,Medium Risk
83,24,31,100,20,56,77,83,34,23,76,51,68,Medium Risk
23,38,20,66,77,7,78,28,81,81,23,58,86,Medium Risk
11,34,7,43,3,78,42,40,4,48,53,66,78,Medium Risk
49,2,71,32,22,94,96,41,13,17,25,95,5,High Risk
34,100,49,72,83,93,30,97,91,6,65,85,32,Medium Risk
32,43,66,60,14,19,98,64,29,3,79,66,54,Medium Risk
32,50,43,8,92,52,16,30,3,89,37,98,18,High Risk
60,93,57,67,7,11,91,29,38,68,64,61,76,Medium Risk
50,97,2,34,40,48,82,17,83,59,74,69,28,Medium Risk
42,11,85,80,18,16,53,16,63,54,50,99,60,Medium Risk
100,18,69,97,45,63,61,37,24,15,34,52,69,High Risk
11,100,1,87,27,41,86,13,27,98,42,92,78,Medium Risk
66,43,86,95,90,93,31,86,75,89,28,99,79,Low Risk
64,58,43,64,67,28,39,88,65,81,36,53,23,Medium Risk
32,48,1,7,14,18,12,78,77,28,80,66,22,High Risk
39,60,80,44,98,10,83,55,21,22,57,99,9,High Risk
73,16,34,86,36,97,34,21,30,13,53,86,53,Medium Risk
42,73,97,46,0,49,4,66,22,78,38,95,40,Medium Risk
43,56,86,39,66,70,72,55,47,48,41,91,48,Medium Risk
28,54,29,75,23,57,28,18,19,32,27,64,16,High Risk
12,46,7,53,26,33,69,56,37,24,28,82,55,High Risk
11,11,21,75,39,19,24,43,54,20,42,65,44,High Risk
94,61,43,45,62,49,94,97,67,16,2,60,29,High Risk
45,79,57,46,60,87,21,34,78,22,9,69,43,High Risk
1,87,35,14,35,9,65,0,87,56,58,87,73,Medium Risk
34,82,68,18,97,31,44,51,88,80,13,73,54,Medium Risk
86,7,76,25,92,51,68,84,0,57,75,65,18,High Risk
80,94,92,51,23,14,90,92,6,13,46,79,28,High Risk
89,20,30,92,23,100,88,69,56,92,41,83,1,Medium Risk
7,80,46,21,3,83,71,36,94,19,93,50,35,Medium Risk
92,86,54,20,66,2,0,64,11,29,31,73,18,High Risk
25,100,79,50,33,36,83,50,4,18,31,73,6,High Risk
73,79,61,37,56,39,43,0,49,52,41,58,25,High Risk
89,69,29,19,48,71,86,90,41,55,31,71,78,Medium Risk
33,71,54,28,86,39,95,20,11,76,25,61,37,High Risk
6,24,15,50,52,55,74,52,17,81,0,66,2,High Risk
67,81,11,3,22,22,38,15,65,22,55,74,79,Medium Risk
57,88,16,54,68,10,53,60,73,61,1,77,65,Medium Risk
74,11,15,70,94,63,87,53,78,32,80,64,94,Medium Risk
28,14,11,91,52,7,74,39,93,17,29,79,91,Medium Risk
35,58,7,27,61,92,28,25,16,72,70,100,70,Medium Risk
88,25,83,3,40,93,53,79,67,32,51,76,93,Medium Risk
20,25,2,21,56,55,89,91,70,31,90,71,42,Medium Risk
35,46,15,75,59,59,15,64,61,60,8,59,61,Medium Risk
9,31,29,44,53,9,98,99,40,53,21,80,70,Medium Risk
100,9,22,66,69,38,19,73,94,16,33,76,99,Medium Risk
72,15,91,85,100,27,45,63,33,18,48,61,92,Medium Risk
23,70,4,65,56,48,66,42,69,90,0,95,23,Medium Risk
63,16,83,87,9,35,64,16,44,69,72,80,38,Medium Risk
98,22,64,33,39,12,57,58,57,98,83,81,67,Medium Risk
48,25,29,90,6,95,52,22,50,100,52,81,92,Medium Risk
98,84,20,54,37,35,0,6,33,33,82,90,43,Medium Risk
35,85,83,0,84,100,80,43,43,83,99,94,4,Medium Risk
81,6,69,71,60,25,65,52,14,24,39,84,54,Medium Risk
95,13,21,86,83,85,28,70,77,67,44,95,92,Medium Risk
23,78,81,37,2,3,83,78,69,73,67,70,29,Medium Risk
22,6,71,5,50,94,69,33,49,73,8,59,28,High Risk
61,8,31,85,85,81,7,45,100,87,21,65,25,Medium Risk
95,47,32,24,46,63,28,67,31,84,17,56,82,Medium Risk
36,71,15,81,67,37,50,77,66,10,75,53,25,High Risk
11,58,75,16,91,87,32,77,2,90,42,76,36,Medium Risk
54,86,37,60,75,86,2,15,85,15,38,74,90,Medium Risk
12,92,97,11,37,21,59,70,85,89,72,80,93,Medium Risk
22,81,13,5,35,1,34,95,73,60,5,60,52,High Risk
88,94,35,89,40,30,68,18,50,93,82,97,29,Medium Risk
98,93,96,26,68,10,90,1,66,79,47,69,2,High Risk
29,38,22,7,12,91,75,9,75,6,6,85,42,High Risk
16,98,65,82,86,45,83,49,92,15,79,66,6,Medium Risk
61,17,84,64,57,95,19,80,47,98,68,94,48,Medium Risk
83,58,1,56,49,61,72,100,16,15,15,60,72,Medium Risk
88,16,90,92,29,68,38,11,6,39,0,79,40,High Risk
85,13,72,98,61,63,3,69,12,11,36,84,76,Medium Risk
12,30,64,39,100,9,18,21,65,34,82,90,78,Medium Risk
58,23,74,13,24,39,90,31,3,20,36,87,53,High Risk
18,98,66,34,26,23,44,83,9,49,80,71,68,Medium Risk
48,59,51,47,50,98,42,0,87,42,63,92,92,Medium Risk
99,44,61,83,77,43,12,53,16,99,89,97,98,Low Risk
11,97,22,55,56,59,12,57,51,16,85,100,90,Medium Risk
60,2,25,48,46,61,59,69,5,31,61,76,26,High Risk
18,36,67,12,99,86,56,82,82,40,71,86,7,Medium Risk
75,42,81,60,38,16,85,17,68,5,60,95,31,Medium Risk
8,39,54,48,15,64,91,5,95,87,32,98,83,Medium Risk
70,89,5,45,21,94,51,44,73,26,65,84,63,Medium Risk
27,54,34,61,84,94,52,96,8,19,29,53,9,High Risk
77,86,21,7,53,56,85,22,90,24,19,65,12,High Risk
94,38,42,42,20,54,42,22,76,65,59,65,62,Medium Risk
51,14,14,19,71,52,82,25,82,8,81,70,92,Medium Risk
82,3,85,96,15,55,71,76,20,91,73,75,34,Medium Risk
15,92,59,89,58,97,71,6,23,52,23,85,60,Medium Risk
68,85,100,38,30,8,41,78,3,60,3,68,53,High Risk
98,24,11,84,41,21,89,43,23,37,36,66,7,High Risk
11,12,48,48,73,12,25,26,58,2,3,94,28,High Risk
24,81,41,63,31,88,22,25,98,83,76,75,94,Medium Risk
51,32,37,61,58,47,42,96,2,69,88,71,40,Medium Risk
84,15,81,53,33,17,76,78,67,96,76,77,29,Medium Risk
99,41,44,8,8,75,27,35,100,54,17,50,85,Medium Risk
52,65,34,87,80,39,8,54,39,0,87,93,20,High Risk
22,54,29,36,10,16,19,63,47,100,65,85,75,Medium Risk
15,98,87,48,95,14,55,90,53,69,47,92,10,Medium Risk
56,41,29,40,9,14,82,56,34,44,32,86,1,High Risk
38,33,77,16,85,78,38,68,94,97,57,51,49,Medium Risk
52,29,5,87,16,62,50,60,55,46,82,66,40,Medium Risk
41,12,66,20,67,38,11,1,88,78,72,89,65,Medium Risk
57,12,79,50,47,12,78,54,39,25,27,87,97,Medium Risk
38,17,6,58,51,80,94,96,76,13,34,70,2,High Risk
13,31,51,38,24,31,54,79,67,53,9,58,79,Medium Risk
94,95,13,54,20,8,77,86,45,70,64,62,50,Medium Risk
4,98,72,40,100,39,10,37,77,45,41,60,67,Medium Risk
34,38,14,38,64,19,25,79,12,30,84,65,86,Medium Risk
86,45,20,12,62,89,41,77,26,87,8,65,83,Medium Risk
92,28,34,63,88,90,26,28,5,58,59,51,24,High Risk
74,61,65,10,50,84,10,25,16,94,14,91,29,Medium Risk
17,92,90,18,35,81,37,34,35,28,98,93,81,Medium Risk
75,61,1,10,80,76,97,78,98,95,56,57,10,Medium Risk
8,56,34,76,87,79,42,66,80,16,68,92,92,Medium Risk
73,15,81,45,65,72,18,86,1,13,21,91,16,High Risk
57,55,77,44,14,62,63,28,76,35,63,62,25,High Risk
16,9,19,0,95,75,5,33,51,57,40,66,22,High Risk
6,29,81,39,38,43,45,96,65,23,86,88,55,Medium Risk
45,24,9,18,69,37,41,40,51,62,70,73,51,Medium Risk
12,83,24,75,0,82,91,40,91,90,55,52,47,Medium Risk
39,4,65,71,22,59,64,22,42,24,22,79,19,High Risk
41,64,24,71,38,70,98,70,89,58,24,62,1,High Risk
8,93,53,60,56,98,71,2,21,31,90,68,87,Medium Risk
49,48,32,11,80,47,58,57,54,81,5,56,30,High Risk
26,2,35,60,33,17,51,31,66,17,33,58,26,High Risk
65,44,94,32,40,15,46,30,98,36,62,68,1,High Risk
4,13,13,44,92,54,6,81,59,25,8,94,77,Medium Risk
28,29,64,89,72,38,10,42,57,8,59,89,3,High Risk
36,67,79,91,12,67,60,6,11,98,48,71,12,High Risk
37,17,53,68,69,58,67,0,87,63,96,67,99,Medium Risk
82,61,51,7,5,88,24,60,68,71,50,72,34,Medium Risk
7,36,2,24,83,95,11,13,83,19,59,51,71,Medium Risk
64,24,98,90,51,61,25,51,38,53,69,99,65,Medium Risk
85,47,40,45,2,12,11,95,12,85,36,99,5,High Risk
16,64,5,86,80,80,42,5,40,82,30,60,30,High Risk
70,52,24,29,62,100,50,9,56,29,97,80,9,Medium Risk
88,78,12,46,48,5,36,70,52,52,40,82,20,High Risk
44,72,97,86,75,82,45,89,11,91,61,63,73,Medium Risk
3,14,7,48,46,76,52,97,12,98,92,65,22,Medium Risk
35,48,20,46,54,59,87,29,73,62,57,60,2,High Risk
69,87,97,83,63,89,79,99,96,10,13,82,31,Medium Risk
30,67,67,81,64,13,12,20,56,30,35,56,19,High Risk
18,11,24,17,80,94,88,59,39,48,35,80,73,Medium Risk
60,58,78,65,66,53,53,80,79,99,78,97,28,Medium Risk
53,36,67,67,89,3,56,96,44,93,7,95,51,Medium Risk
38,60,44,93,14,38,3,73,34,86,25,96,45,Medium Risk
90,100,59,32,99,71,74,62,2,18,35,63,33,High Risk
73,42,11,35,31,24,95,41,4,11,47,77,100,Medium Risk
89,69,31,81,95,76,48,50,89,14,84,92,83,Medium Risk
18,38,95,100,67,31,6,63,10,30,27,65,60,High Risk
38,55,91,18,17,58,10,75,70,42,67,68,71,Medium Risk
66,62,12,27,82,62,91,55,55,100,61,66,70,Medium Risk
44,45,30,39,42,37,53,79,9,36,79,75,69,Medium Risk
12,87,77,83,34,91,86,40,33,78,85,55,10,Medium Risk
91,10,19,96,77,52,44,31,66,28,75,92,81,Medium Risk
57,61,17,75,57,93,22,14,71,25,79,98,92,Medium Risk
19,76,92,14,32,66,27,61,30,1,50,58,88,Medium Risk
91,97,59,40,13,27,56,26,74,83,41,99,62,Medium Risk
71,24,62,38,33,2,25,27,70,14,100,66,20,High Risk
60,70,5,1,60,97,24,80,65,3,28,80,2,High Risk
38,51,31,62,3,79,53,63,69,85,81,61,81,Medium Risk
0,3,92,28,87,21,28,58,40,49,9,72,87,Medium Risk
2,58,42,73,58,95,82,57,62,37,38,54,9,High Risk
76,71,1,65,28,37,96,1,31,22,81,92,26,Medium Risk
91,19,59,50,82,71,35,35,19,58,0,85,11,High Risk
61,92,22,74,5,71,13,70,56,89,38,85,6,Medium Risk
62,62,82,76,96,61,77,12,97,74,20,52,16,Medium Risk
24,53,30,9,48,56,34,14,49,27,64,73,64,Medium Risk
55,73,4,13,39,5,29,88,79,65,14,66,63,Medium Risk
32,97,82,81,82,77,91,86,24,7,3,88,25,High Risk
37,56,33,50,64,31,16,59,11,28,59,75,14,High Risk
5,89,9,72,68,98,66,21,70,10,60,53,32,High Risk
57,40,88,38,26,9,79,62,38,100,19,94,61,Medium Risk
43,2,1,27,79,2,29,89,16,17,9,61,100,High Risk
44,5,10,2,5,58,92,96,44,54,86,50,46,Medium Risk
31,4,49,83,12,75,44,74,10,49,33,70,94,Medium Risk
44,4,30,69,63,48,78,73,69,13,47,68,34,High Risk
60,53,55,26,61,58,88,24,22,73,32,70,64,Medium Risk
46,46,78,1,98,30,50,100,90,98,97,67,71,Medium Risk
20,86,72,92,18,92,46,47,69,8,60,92,75,Medium Risk
79,48,86,37,75,68,52,42,37,98,9,52,82,Medium Risk
84,8,82,2,79,61,63,37,1,10,53,98,24,High Risk
74,98,8,15,42,51,37,40,85,62,83,93,56,Medium Risk
100,19,98,93,73,88,63,44,83,75,64,81,31,Medium Risk
35,60,20,39,88,40,86,87,88,66,76,59,62,Medium Risk
98,34,72,1,19,30,88,39,78,52,0,89,11,High Risk
18,49,27,80,94,84,6,96,92,38,4,64,62,Medium Risk
19,81,61,40,67,83,21,16,71,77,79,54,76,Medium Risk
56,61,6,11,43,21,80,87,36,55,14,53,91,Medium Risk
17,16,79,34,22,3,81,100,48,27,27,77,0,High Risk
46,87,15,64,1,12,40,56,51,74,94,100,50,Medium Risk
48,2,96,54,21,44,73,1,32,38,22,53,69,High Risk
13,31,3,44,56,41,9,95,21,24,16,64,7,High Risk
14,98,3,78,100,48,56,61,4,20,97,66,67,Medium Risk
30,12,39,89,71,19,6,87,17,9,12,93,4,High Risk
0,88,16,100,6,76,49,8,37,42,13,52,88,Medium Risk
53,72,100,84,77,80,90,67,36,14,10,59,85,Medium Risk
2,67,51,61,55,53,51,80,93,82,27,96,91,Medium Risk
15,13,92,48,66,35,32,16,94,47,41,91,38,Medium Risk
86,100,51,94,15,96,0,49,63,85,95,72,22,Medium Risk
56,97,35,24,82,0,52,93,9,20,98,67,67,Medium Risk
74,10,37,22,50,14,59,39,78,59,60,50,51,Medium Risk
11,55,49,23,81,76,33,57,41,95,63,84,3,Medium Risk
73,66,62,37,79,16,3,74,47,49,30,80,46,Medium Risk
95,91,100,27,71,23,16,84,43,22,80,93,20,Medium Risk
15,28,62,20,96,57,3,20,81,12,72,50,100,Medium Risk
71,8,61,53,11,71,42,17,86,68,9,52,55,Medium Risk
75,66,98,17,52,90,89,54,96,3,7,52,65,Medium Risk
23,24,6,35,74,22,3,28,15,91,20,86,58,High Risk
27,97,26,98,4,45,0,23,53,77,76,68,6,High Risk
7,75,91,44,26,71,70,73,34,71,58,78,48,Medium Risk
91,41,85,72,11,7,93,16,97,8,49,74,15,High Risk
35,8,13,52,16,58,49,17,27,34,68,82,16,High Risk
89,78,70,29,5,89,72,41,1,100,69,85,83,Medium Risk
7,39,100,59,96,58,60,83,93,20,29,78,86,Medium Risk
57,24,85,97,4,12,34,100,12,57,94,75,97,Medium Risk
59,4,4,31,56,38,7,44,40,17,16,53,74,High Risk
49,10,54,66,27,100,23,81,79,96,74,98,33,Medium Risk
27,58,1,66,77,27,82,16,58,71,19,63,32,High Risk
91,97,61,27,68,88,35,72,68,80,47,99,25,Medium Risk
100,87,90,43,58,60,49,13,91,42,72,76,65,Medium Risk
40,78,20,78,32,15,42,48,52,94,1,82,62,Medium Risk
99,37,78,40,61,1,26,28,44,97,36,71,86,Medium Risk
63,71,20,62,49,81,31,94,19,5,0,97,40,High Risk
26,4,9,22,18,16,77,3,23,85,3,52,85,High Risk
62,47,86,74,85,29,17,81,60,77,99,72,57,Medium Risk
16,89,57,47,68,12,27,19,90,66,53,70,97,Medium Risk
72,17,38,31,65,95,28,46,93,11,24,90,78,Medium Risk
32,69,4,56,93,92,15,8,57,99,2,72,9,High Risk
83,36,64,99,46,93,98,76,26,11,8,53,14,High Risk
76,59,12,32,38,81,46,78,25,65,85,70,41,Medium Risk
91,47,84,23,67,12,58,26,6,1,86,86,92,Medium Risk
28,76,89,38,32,42,30,14,41,14,75,92,56,Medium Risk
12,27,84,33,12,84,3,91,46,22,73,80,86,Medium Risk
45,68,52,55,83,93,36,100,52,28,33,70,16,High Risk
34,76,81,27,53,20,16,18,58,80,42,75,59,Medium Risk
5,80,100,36,6,54,38,89,37,95,73,90,8,Medium Risk
81,39,44,6,78,80,47,51,68,6,93,84,35,Medium Risk
68,44,31,67,86,39,45,25,86,93,21,87,72,Medium Risk
46,95,35,36,13,82,89,88,91,27,69,73,79,Medium Risk
24,61,80,55,86,14,47,25,97,13,1,60,35,High Risk
65,92,98,64,18,72,38,25,52,43,93,90,47,Medium Risk
9,57,59,64,53,51,3,45,14,29,65,78,50,High Risk
55,66,10,46,92,73,29,91,95,80,31,96,96,Low Risk
29,55,62,19,19,94,29,48,25,31,15,52,94,Medium Risk
4,39,20,18,28,52,21,81,47,69,75,50,69,Medium Risk
32,97,51,28,23,86,74,95,94,87,0,68,73,Medium Risk
64,39,54,73,81,51,65,52,18,5,71,95,79,Medium Risk
17,90,25,59,62,29,11,2,8,26,47,98,67,Medium Risk
95,76,67,17,73,32,93,65,63,81,49,71,21,Medium Risk
48,32,33,91,56,56,35,96,92,87,12,63,76,Medium Risk
10,5,51,34,7,51,17,41,53,100,14,98,79,Medium Risk
84,87,81,42,89,8,89,18,50,23,52,63,92,Medium Risk
25,18,98,94,61,53,52,16,38,33,43,93,5,High Risk
62,79,92,90,28,0,70,32,3,39,7,65,25,High Risk
88,39,51,10,73,43,0,75,2,46,73,82,74,Medium Risk
85,91,28,48,16,98,57,48,63,78,45,62,87,Medium Risk
58,96,37,37,65,74,89,55,28,74,68,87,92,Medium Risk
26,58,41,63,5,97,86,62,10,85,18,98,2,High Risk
48,58,20,68,57,79,89,2,96,23,37,61,51,Medium Risk
76,47,41,7,68,8,5,48,57,64,10,100,73,Medium Risk
32,40,12,33,27,31,69,54,74,17,42,87,59,Medium Risk
97,12,63,47,61,14,43,25,26,43,19,88,62,Medium Risk
98,44,16,55,40,11,71,98,96,75,19,82,64,Medium Risk
0,88,8,75,68,96,23,71,20,56,20,82,51,Medium Risk
20,52,40,64,81,77,85,51,38,27,81,78,89,Medium Risk
54,41,0,30,89,56,18,99,94,70,56,54,75,Medium Risk
5,99,1,3,83,7,100,6,45,22,49,55,13,High Risk
91,62,59,49,40,71,17,45,65,84,73,80,88,Medium Risk
80,26,47,68,48,26,94,45,90,33,97,65,71,Medium Risk
68,37,28,29,90,61,100,99,35,10,25,80,67,Medium Risk
94,59,96,87,48,11,29,15,74,85,29,74,27,Medium Risk
4,6,9,58,75,64,41,23,81,34,72,97,70,Medium Risk
2,4,57,66,70,41,32,60,64,92,30,95,9,Medium Risk
52,44,59,74,2,61,73,53,62,41,41,82,56,Medium Risk
22,57,20,44,9,10,100,61,98,27,67,62,99,Medium Risk
100,30,27,3,97,42,11,0,34,81,60,59,65,Medium Risk
52,22,74,25,88,94,93,48,30,77,60,73,89,Medium Risk
36,41,33,26,34,16,26,24,27,81,69,59,49,High Risk
73,9,7,45,79,96,38,9,0,91,77,90,13,Medium Risk
73,31,58,63,1,31,8,79,24,23,67,80,15,High Risk
82,52,85,90,23,92,20,15,42,7,89,62,53,Medium Risk
16,29,71,50,73,84,75,57,83,52,16,52,42,Medium Risk
84,38,48,49,37,84,28,71,66,71,18,99,41,Medium Risk
77,30,78,5,21,39,32,28,62,3,50,83,80,Medium Risk
72,81,16,58,25,22,61,91,50,90,69,98,21,Medium Risk
0,99,59,14,42,55,14,5,1,99,62,77,67,Medium Risk
50,1,86,29,54,5,1,15,81,4,92,68,18,High Risk
44,77,87,41,38,85,51,19,63,96,74,72,65,Medium Risk
76,76,44,100,90,49,43,79,73,48,79,94,38,Medium Risk
3,92,82,36,28,36,53,70,68,97,29,81,72,Medium Risk
61,11,68,41,19,63,17,77,8,29,24,62,18,High Risk
64,38,31,100,90,53,2,42,1,71,74,82,15,High Risk
31,65,43,34,40,71,6,25,33,62,70,83,53,Medium Risk
33,95,64,86,53,48,42,89,59,46,25,82,24,Medium Risk
91,12,86,5,19,98,81,77,60,25,55,54,17,High Risk
94,45,100,67,18,10,37,70,30,56,21,52,22,High Risk
71,26,7,17,83,87,36,32,9,36,88,56,84,Medium Risk
38,16,76,72,98,48,57,25,75,97,18,73,10,Medium Risk
25,94,71,28,65,20,32,44,35,6,30,71,38,High Risk
33,97,86,76,29,65,58,83,84,39,25,94,67,Medium Risk
